X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.08,-0.32,0.56,8757,10870,65.2173913,,94.80568542,4,,,
-0.17,-0.25,0.5,8774,10947,81.08108108,,94.85550779,4,,,
-0.21,-0.4,0.66,8716,10994,65.2173913,,95.33598666,4,,,
-0.16,-0.45,0.81,8715,10971,88.23529412,,97.47657144,4,,,
-0.14,-0.44,1.08,8783,11042,103.4482759,,90.93969494,4,,,
-0.11,-0.25,1.08,8744,11013,176.4705882,,93.16299278,4,,,
-0.17,-0.13,1.17,8766,10976,107.1428571,,90.13381829,4,,,
-0.21,-0.06,1.17,8786,11002,115.3846154,,98.12578709,4,,,
-0.24,-0.11,1.23,8749,11017,107.1428571,,86.36878751,4,,,
-0.16,-0.32,1.29,8803,11015,65.2173913,,92.45729897,4,,,
-0.2,-0.28,1.05,8756,11038,81.08108108,,89.94360977,4,,,
0,-0.39,1.26,8768,10994,65.2173913,,96.08794959,4,,,
0.03,-0.6,1.5,8772,11013,88.23529412,,99.91156355,4,,,
0.21,-0.37,1.26,8752,11063,103.4482759,,85.06170852,4,,,
0.03,-0.17,0.77,8759,10966,125,,90.52338447,4,,,
0.01,-0.37,0.9,8741,10958,85.71428571,,91.83090921,4,,,
0.11,-0.3,0.86,8721,10972,58.82352941,,89.93773463,4,,,
0.03,-0.22,0.86,8751,10914,85.71428571,,96.08922461,4,,,
0.01,-0.17,0.66,8556,10582,45.45454545,,99.91158484,4,,,
-0.1,-0.14,0.65,8470,10600,85.71428571,,85.06192681,4,,,
-0.14,-0.24,0.73,8563,10849,96.77419355,,90.52338451,4,,,
-0.17,-0.2,0.75,8722,10911,120,,91.83090921,4,,,
-0.17,-0.21,0.91,8780,10935,85.71428571,,89.93773462,4,,,
-0.21,-0.2,1.08,8742,10994,96.77419355,,96.08922461,4,,,
-0.14,-0.26,1.31,8753,11011,68.18181818,,99.91158484,4,,,
-0.13,-0.3,1.24,8803,10980,85.71428571,,85.0619268,4,,,
-0.17,-0.13,1.08,8763,10993,100,,85.21022389,4,,,
0,-0.36,1.25,8754,10990,120,,92.23758671,4,,,
-0.03,-0.26,0.94,8770,10929,111.1111111,,96.60490838,4,,,
-0.13,-0.17,0.98,8803,11002,125,,98.10564811,4,,,
-0.05,-0.15,0.94,8750,10947,103.4482759,,85.82983766,4,,,
-0.09,-0.06,0.73,8800,10993,73.17073171,,86.50739775,4,,,
-0.01,-0.04,0.94,8829,11019,93.75,,93.86780504,4,,,
0.03,-0.19,0.88,8760,11093,62.5,,96.61128368,4,,,
0,0,0.65,8752,11051,85.71428571,,98.10033482,4,,,
-0.13,-0.01,0.8,8783,11021,100,,87.26415241,4,,,
-0.19,-0.11,0.86,8827,11006,120,,96.27064632,4,,,
-0.19,-0.15,0.96,8793,11097,111.1111111,,96.74963241,4,,,
-0.16,-0.21,1.04,8804,11071,125,,85.47063467,4,,,
-0.21,0.03,-0.29,8758,11009,103.4482759,,96.27356452,4,,,
0.26,-0.79,1.34,8808,11046,73.17073171,,96.74963755,4,,,
0.24,-0.47,1.26,8788,11050,93.75,,85.47063463,4,,,
0.04,-0.3,0.96,8746,11024,63.82978723,,96.27356451,4,,,
-0.1,-0.17,0.73,8806,11022,83.33333333,,98.11869016,4,,,
-0.1,-0.11,0.65,8809,10985,100,,87.83941613,4,,,
