X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.71,0.39,0.64,10121,11530,78.94736842,,96.25875796,3,,,
0.7,0.4,0.59,10223,11508,73.17073171,,99.90569643,3,,,
0.75,0.39,0.56,10049,11378,68.18181818,,98.26233995,3,,,
0.74,0.37,0.59,10059,11515,71.42857143,,99.39282658,3,,,
0.75,0.39,0.55,10105,11534,73.17073171,,91.91083183,3,,,
0.75,0.39,0.55,10121,11665,58.82352941,,97.57567287,3,,,
0.74,0.43,0.57,10225,11532,73.17073171,,99.83170807,3,,,
0.71,0.39,0.57,10152,11530,83.33333333,,96.04392698,3,,,
0.74,0.37,0.6,10025,11423,81.08108108,,95.0939459,3,,,
0.74,0.37,0.6,10109,11498,54.54545455,,97.44990533,3,,,
0.74,0.41,0.59,10242,11577,69.76744186,,97.67264636,3,,,
0.7,0.36,0.61,10113,11468,68.18181818,,96.56838479,3,,,
0.75,0.37,0.61,10130,11343,75,,87.81185409,3,,,
0.75,0.43,0.61,10017,11468,65.2173913,,92.82229055,3,,,
0.75,0.43,0.57,10246,11602,78.94736842,,93.92331067,3,,,
0.74,0.41,0.57,10171,11543,85.71428571,,89.37026922,3,,,
0.73,0.39,0.54,10110,11428,62.5,,99.52596664,3,,,
0.71,0.39,0.62,10052,11457,78.94736842,,99.82827262,3,,,
0.7,0.4,0.62,10105,11514,66.66666667,,85.01770456,3,,,
0.73,0.39,0.61,10130,11557,73.17073171,,94.32381948,3,,,
0.7,0.4,0.59,10230,11578,68.18181818,,97.31796974,3,,,
0.71,0.43,0.56,10136,11517,68.18181818,,99.88745964,3,,,
0.71,0.41,0.59,10056,11380,55.55555556,,97.27202972,3,,,
0.74,0.41,0.57,10053,11485,83.33333333,,99.21247474,3,,,
0.75,0.4,0.6,10216,11600,81.08108108,,98.2214106,3,,,
0.73,0.37,0.61,10152,11509,55.55555556,,99.68064797,3,,,
0.74,0.39,0.62,10120,11443,71.42857143,,99.24503053,3,,,
0.74,0.4,0.57,10016,11463,88.23529412,,98.64217061,3,,,
0.74,0.35,0.61,10105,11504,65.2173913,,98.74165505,3,,,
0.75,0.37,0.59,10112,11581,61.2244898,,94.70489187,3,,,
0.73,0.37,0.6,10143,11514,93.75,,99.86292588,3,,,
0.7,0.4,0.56,9993,11426,71.42857143,,98.1968433,3,,,
0.73,0.39,0.57,10103,11505,66.66666667,,99.95487254,3,,,
0.71,0.41,0.59,10099,11503,73.17073171,,99.94414892,3,,,
0.75,0.37,0.62,10233,11583,75,,95.7917603,3,,,
0.73,0.39,0.64,10145,11530,68.18181818,,99.28747524,3,,,
0.69,0.37,0.59,9996,11423,73.17073171,,99.63257371,3,,,
0.7,0.37,0.57,10111,11516,68.18181818,,94.845,3,,,
0.69,0.39,0.6,10010,11395,75,,90.70537342,3,,,
0.71,0.43,0.59,10095,11505,69.76744186,,99.92256357,3,,,
0.74,0.4,0.61,10129,11493,81.08108108,,98.99666681,3,,,
0.75,0.4,0.62,10201,11646,76.92307692,,96.3703927,3,,,
0.74,0.41,0.62,10023,11496,66.66666667,,99.73650616,3,,,
0.73,0.4,0.62,10110,11527,81.08108108,,99.34119203,3,,,
0.73,0.39,0.57,10201,11624,73.17073171,,99.87471442,3,,,
0.74,0.4,0.6,10122,11532,76.92307692,,97.25315863,3,,,
0.74,0.41,0.6,10123,11435,68.18181818,,90.85990372,3,,,
0.73,0.43,0.57,10007,11525,76.92307692,,92.29915079,3,,,
0.74,0.41,0.6,10216,11591,75,,97.89834421,3,,,
0.66,0.39,0.57,10129,11502,83.33333333,,93.95863735,3,,,
