X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.56,0.03,0.86,8120,10606,157.8947368,,99.34315993,2,,,
0.52,-0.01,0.84,8238,10677,166.6666667,,93.90020179,2,,,
0.52,-0.01,0.89,8153,10629,333.3333333,,88.18059185,2,,,
0.54,0,0.89,8201,10647,150,,99.95652391,2,,,
0.55,0,0.9,8133,10657,157.8947368,,99.84953143,2,,,
0.54,0.01,0.85,8167,10640,111.1111111,,99.91561359,2,,,
0.55,-0.03,0.9,8125,10609,150,,94.86585219,2,,,
0.57,-0.03,0.82,8203,10681,115.3846154,,94.88218075,2,,,
0.52,-0.04,0.9,8141,10661,150,,95.03628135,2,,,
0.52,0,0.8,8147,10630,142.8571429,,99.34315991,2,,,
0.56,0.01,0.93,8218,10643,214.2857143,,93.90020214,2,,,
0.55,-0.04,0.85,8158,10671,187.5,,88.18059219,2,,,
0.55,0,0.0.55,8158,10645,176.4705882,,99.95652391,2,,,
0.52,0,0.85,8190,10638,166.6666667,,99.84953143,2,,,
0.5,0.03,0.88,8173,10609,157.8947368,,99.91561359,2,,,
0.54,0.01,0.81,8213,10691,166.6666667,,94.90242384,2,,,
0.54,-0.04,0.84,8189,10698,333.3333333,,94.92816723,2,,,
0.55,-0.01,0.91,8124,10652,150,,95.16132829,2,,,
0.55,0.01,0.84,8220,10639,157.8947368,,97.70114553,2,,,
0.56,-0.01,0.81,8177,10680,111.1111111,,96.59273247,2,,,
0.57,-0.03,0.86,8158,10690,150,,94.96884157,2,,,
0.55,-0.03,0.88,8166,10637,115.3846154,,98.17974384,2,,,
0.52,0,0.86,8167,10624,150,,97.42124809,2,,,
0.56,-0.01,0.82,8231,10645,142.8571429,,98.92573675,2,,,
0.52,-0.03,0.88,8178,10576,214.2857143,,98.71974794,2,,,
0.54,-0.06,0.85,8275,10707,187.5,,98.95439882,2,,,
0.55,-0.03,0.89,8212,10709,176.4705882,,98.23537377,2,,,
0.56,-0.03,0.85,8143,10642,166.6666667,,94.8285321,2,,,
0.52,0,0.86,8256,10707,157.8947368,,99.3881052,2,,,
0.56,0,0.89,8185,10653,157.8947368,,97.43127023,2,,,
0.52,0.03,0.89,8234,10635,428.5714286,,98.92361906,2,,,
0.49,0,0.84,8226,10720,150,,98.71969184,2,,,
0.52,0,0.84,8179,10648,150,,98.95471939,2,,,
0.51,0.01,0.84,8165,10648,111.1111111,,98.23540067,2,,,
0.52,0,0.88,8233,10658,150,,98.81845313,2,,,
0.56,-0.01,0.86,8181,10693,111.1111111,,94.90133498,2,,,
0.55,0.05,0.89,8177,10634,142.8571429,,94.89906753,2,,,
0.51,-0.03,0.88,8225,10659,136.3636364,,95.16985493,2,,,
0.55,0.01,0.85,8213,10686,136.3636364,,98.53740289,2,,,
0.55,-0.01,0.84,8228,10620,136.3636364,,97.47459612,2,,,
0.54,-0.04,0.82,8206,10680,142.8571429,,98.64542858,2,,,
0.51,0.01,0.84,8177,10633,176.4705882,,98.29993356,2,,,
0.55,-0.04,0.82,8235,10623,176.4705882,,98.2510067,2,,,
0.52,-0.01,0.88,8138,10643,157.8947368,,98.82101161,2,,,
0.54,0.01,0.9,8219,10653,157.8947368,,94.90133498,2,,,
0.54,0.03,0.86,8152,10674,130.4347826,,94.89906753,2,,,
0.5,0,0.81,8190,10657,142.8571429,,95.16985492,2,,,
0.55,0,0.9,8237,10659,157.8947368,,98.53740287,2,,,
0.54,-0.04,0.89,8181,10686,157.8947368,,97.47459611,2,,,
0.54,-0.04,0.86,8218,10713,136.3636364,,98.64542857,2,,,
0.52,-0.01,0.89,8201,10707,136.3636364,,98.29993362,2,,,
0.52,0,0.85,8153,10666,150,,98.25100671,2,,,
0.56,-0.03,0.77,8230,10719,157.8947368,,98.82100894,2,,,
0.55,0,0.81,8202,10737,333.3333333,,94.87175893,2,,,
0.56,0,0.82,8193,10692,187.5,,94.97656567,2,,,
0.56,0.01,0.89,8241,10708,176.4705882,,96.4542899,2,,,
0.57,-0.01,0.82,8196,10703,166.6666667,,99.84879651,2,,,
0.55,-0.01,0.82,8167,10623,157.8947368,,99.94558328,2,,,
0.54,0,0.85,8155,10713,157.8947368,,97.15475844,2,,,
0.55,-0.01,0.81,8187,10643,428.5714286,,82.92364212,2,,,
0.56,-0.03,0.85,8216,10702,150,,99.95030984,2,,,
0.55,0.01,0.86,8187,10617,150,,96.60609164,2,,,
0.55,-0.01,0.82,8246,10719,111.1111111,,95.60428758,2,,,
0.56,-0.01,0.86,8185,10660,150,,99.58105738,2,,,
0.56,0,0.89,8219,10694,111.1111111,,98.69251282,2,,,
0.55,0,0.84,8149,10653,136.3636364,,99.95096925,2,,,
0.52,0.01,0.82,8217,10701,130.4347826,,96.55123787,2,,,
0.55,0.01,0.85,8195,10700,120,,95.36357241,2,,,
0.55,0,0.88,8216,10690,176.4705882,,98.30971152,2,,,
0.55,0,0.81,8191,10696,166.6666667,,94.89969471,2,,,
0.52,-0.03,0.95,8221,10672,157.8947368,,94.99138418,2,,,
0.54,0.01,0.86,8203,10675,157.8947368,,95.10582431,2,,,
0.51,0,0.79,8171,10654,375,,99.71830172,2,,,
0.55,-0.01,0.86,8242,10674,157.8947368,,96.63067149,2,,,
0.55,-0.01,0.82,8187,10712,150,,99.49493068,2,,,
0.54,-0.04,0.81,8154,10646,111.1111111,,96.40749758,2,,,
0.52,0.04,0.82,8180,10638,150,,95.36420742,2,,,
0.55,0.01,0.8,8234,10709,111.1111111,,98.30956128,2,,,
0.54,-0.01,0.88,8195,10704,136.3636364,,94.89969471,2,,,
0.52,-0.03,0.88,8133,10683,130.4347826,,94.99138417,2,,,
0.51,0,0.91,8207,10665,120,,95.1058243,2,,,
0.56,0.01,0.89,8229,10708,176.4705882,,99.71830166,2,,,
0.54,-0.01,0.81,8151,10673,166.6666667,,96.63067153,2,,,
0.56,0.03,0.86,8204,10655,157.8947368,,99.49493071,2,,,
0.56,-0.01,0.85,8194,10608,157.8947368,,96.40749757,2,,,
0.51,0.01,0.85,8234,10694,375,,95.36420741,2,,,
