X,Y,Z,IR,RED,Heart Rate,Respiration Rate,SpO2
0.05,-0.17,1.05,262143,262143,,,99.89765033
0.05,-0.16,1.01,262143,262143,,,99.69178969
0.03,-0.15,1.05,262143,262143,,,93.93434636
0.03,-0.16,1.02,262143,262143,,,99.47616546
0.04,-0.17,1.05,262143,262143,,,94.95920133
0.05,-0.17,1.09,262143,262143,,,99.00679121
0.03,-0.17,1.04,262143,262143,,,96.85511249
0.05,-0.17,1.06,262143,262143,,,93.63769456
0.06,-0.17,1.05,262143,262143,,,94.845
0.06,-0.16,1.04,262143,262143,,,95.35254111
0.06,-0.16,1.02,262143,262143,,,99.81656813
0.04,-0.16,1,262143,262143,,,96.07058027
0.04,-0.17,1.05,262143,262143,,,99.02384466
0.04,-0.17,1.01,262143,262143,,,97.6172921
0.03,-0.16,1.05,262143,262143,,,99.95530139
0.08,-0.16,1.08,262143,262143,,,99.94706139
0.05,-0.19,1.05,262143,262143,,,93.46336892
0.06,-0.17,1.06,262143,262143,,,87.52223609
0.01,-0.16,1.02,262143,262143,,,94.05458428
0.06,-0.16,1.04,262143,262143,,,99.83444474
0.09,-0.17,1.08,262143,262143,,,99.32425304
